ensembl_gene_id,symbol,gene_biotype,69_AM18_Cryo_MTB,70_AM18_Cryo_Media,71_AM21_MTB,72_AM21_Media,73_AM21_Cryo_MTB,74_AM21_Cryo_Media,AM18_AM_Media,AM18_AM_TB
ENSG00000185753,,protein_coding,5.832409469746064,5.871991590636194,5.6910171406198105,6.344914903954811,5.4965613113688505,6.048099207865315,6.3499509382604185,6.356089443864552
ENSG00000185761,,protein_coding,-2.129908185196244,-4.176495283356143,-4.290550141283204,-3.9346956770976744,-1.4921233754033152,-4.263649107139645,-2.319721543318443,-2.5234938057482315
ENSG00000185774,,protein_coding,-4.451836280083606,-4.176495283356143,-2.7055876405620483,-3.9346956770976744,-4.29947829746092,-4.263649107139645,-3.904684044039599,-2.5234938057482315
ENSG00000185787,,protein_coding,6.9644334644396,7.28958117804011,6.986155878609226,7.086978365760696,7.015104946813276,7.030397206131855,6.965937542817855,7.1420959059737745
ENSG00000185798,,protein_coding,1.5705315329448484,1.656394730808599,0.8387328756617622,2.332090863597227,2.004302450716184,2.1792943887090837,2.072595879460317,2.470051172114469
ENSG00000185800,,protein_coding,-4.451836280083606,-1.8545671884687802,-4.290550141283204,-3.9346956770976744,0.9099750681680306,-2.678686606418488,-1.7892068266196635,-1.2433858865554963
ENSG00000185803,,protein_coding,4.345825245770154,5.015797531114624,4.678116651912004,4.584940575745538,4.598367158544592,4.918745246264884,4.564279336770349,4.927717306084097
ENSG00000185808,,protein_coding,3.2276438194218398,2.3312993568425537,3.0581780129478733,2.8067713093034725,3.7284276991089653,2.955519413322517,3.1721315530112313,2.8540266151024483
ENSG00000185811,,protein_coding,6.741072939028406,6.625213075560319,6.907280856728993,6.52780659549959,6.713844375964528,6.667827126747147,6.447359381755834,6.296229112711558
ENSG00000185813,,protein_coding,5.347445341438315,5.293146533883373,5.347885772707268,4.776110756601677,5.360517594969059,5.078425560859494,4.846860015049499,4.589504127609246
ENSG00000185818,,protein_coding,1.102752571594031,-4.176495283356143,0.9189032243457456,-3.9346956770976744,-4.29947829746092,-4.263649107139645,-1.2417190313171702,-2.5234938057482315
ENSG00000185825,,protein_coding,8.930382438147335,9.032805762677999,8.760488820834205,8.841531711409587,8.745428051635168,8.79586435679408,8.971001322679664,9.106188060639063
ENSG00000185829,,protein_coding,0.40614471504396565,-0.08903244210580326,-0.5901104231421123,-0.23425595895658247,0.8298047194840472,-4.263649107139645,-0.7347590425972871,-1.423958132197317
ENSG00000185838,,protein_coding,2.9144859341622094,3.2243841529260417,2.152393354565524,1.9960416604652116,2.9001940473754453,2.60671561244376,2.7246725760400103,2.136756822277162
ENSG00000185842,,protein_coding,0.833565938778642,2.232895652781559,2.1851832896831933,1.7932247774655248,0.9859239214013291,0.6905472032472307,1.2245989729053672,0.3970717267573636
ENSG00000185862,,protein_coding,7.058433390814572,6.3655692589273,6.714372537285841,6.094591549870571,7.53933168824764,6.446296273092853,6.385718855881016,5.704637723486319
ENSG00000185864,,protein_coding,1.2205890618878892,1.4382145607590657,0.9189032243457456,1.9960416604652116,0.2240836585960937,2.145741828998057,0.291713168763904,0.9359378128890659
