donorID,cell,symbol,ENSEMBLID,batch,cryo.rank.pos,fresh.rank.pos,cryo.rank.neg,fresh.rank.neg,cryo.FC,fresh.FC
AM21,AM,,ENSG00000004846,same,1531,2608,12849,11772,1.5368904334334856,0.6963729863840853
AM18,AM,,ENSG00000004864,different,5691,5536,8689,8844,0.21361200697575722,0.10575767773237121
AM21,AM,,ENSG00000004864,same,5287,8248,9093,6132,0.17019163936885473,-0.05862200259902295
AM18,AM,,ENSG00000004866,different,3686,3563,10694,10817,0.3518493810881953,0.25470550821184457
AM21,AM,,ENSG00000004866,same,3840,3975,10540,10405,0.3865527247622973,0.36088128126036256
AM18,AM,,ENSG00000004897,different,7081,2664,7299,11714,0.07553132228569126,0.3998059164587149
AM21,AM,,ENSG00000004897,same,6355,5389,8025,8991,0.04629302615359521,0.30272596902448967
AM18,AM,,ENSG00000004961,different,6456,3959,7924,10421,0.13634056848005294,0.21150486728576467
AM21,AM,,ENSG00000004961,same,8800,9176,5579,5204,-0.15102620707091408,-0.18652824779678756
AM18,AM,,ENSG00000004975,different,6123,11597,8257,2783,0.1690823093369067,-0.39717373202229744
AM21,AM,,ENSG00000004975,same,7412,9815,6968,4565,0.015020728041368336,-0.27953746337876595
AM18,AM,,ENSG00000005007,different,5860,7521,8520,6859,0.19639238357333078,-0.02479538524868552
AM21,AM,,ENSG00000005007,same,10177,8622,4203,5758,-0.35285523794758866,-0.1104347348170096
AM18,AM,,ENSG00000005020,different,8905,6925,5475,7455,-0.11188361072281516,0.01293036712269835
AM21,AM,,ENSG00000005020,same,6204,7384,8176,6996,0.0631969735203155,0.046282722291585365
AM18,AM,,ENSG00000005022,different,8228,8297,6151,6083,-0.04027332422769625,-0.07546870466982014
AM21,AM,,ENSG00000005022,same,8944,7437,5436,6943,-0.16972671500771774,0.040363458494582005
AM18,AM,,ENSG00000005059,different,9113,2980,5267,11400,-0.1386970601554074,0.341244301302547
AM21,AM,,ENSG00000005059,same,4002,8549,10378,5831,0.3541906701884443,-0.10035222406971833
AM18,AM,,ENSG00000005075,different,5580,6199,8799,8181,0.2251006194333227,0.05931663716370039
AM21,AM,,ENSG00000005075,same,3884,11166,10496,3214,0.37650491517933116,-0.5465507335011717
AM18,AM,,ENSG00000005100,different,5429,9474,8951,4906,0.24065915734275034,-0.16275888005656203
AM21,AM,,ENSG00000005100,same,10924,5168,3456,9212,-0.49314870062270977,0.33809799338137125
AM18,AM,,ENSG00000005108,different,192,14142,14162,207,4.362803837977803,-2.1631302779324426
AM21,AM,,ENSG00000005108,same,13067,2755,1177,11620,-1.5491333103998817,0.6453610813805147
AM18,AM,,ENSG00000005156,different,7353,6268,7027,8112,0.050360780901860025,0.05534877020330864
AM21,AM,,ENSG00000005156,same,8123,6635,6257,7745,-0.07293400749563617,0.14044847316518894
AM18,AM,,ENSG00000005175,different,8358,8609,6022,5771,-0.054958233503909604,-0.0964002926266403
AM21,AM,,ENSG00000005175,same,6213,9765,8167,4615,0.06240590315228012,-0.27072224534563016
AM18,AM,,ENSG00000005187,different,1631,11585,12749,2795,0.9779550861028927,-0.39459460476536634
AM21,AM,,ENSG00000005187,same,4937,14366,9441,14,0.2164014359630957,-6.183304346922501
AM18,AM,,ENSG00000005189,different,3036,784,11342,13596,0.4617541209583451,1.4894431289433914
